source,task,seed,case_id,tokens,gold,baseline_pred,baseline_constrained_pred,event_pred,event_constrained_pred,baseline_p_event,event_p_event,baseline_legal,event_legal,baseline_exact,event_exact,baseline_char_acc,event_char_acc,hidden_conflict
semi_real,product_code,0,semi_real_product_code_0_0000,D0 S _ 1 3 Z,DS-132,BS-152,BS-152,BS-132,BS-132,0.8618093132972717,0.9642969965934753,True,True,False,False,0.6666666666666666,0.8333333333333334,False
semi_real,product_code,0,semi_real_product_code_0_0001,A4 A _ 3 Z2 O0,AA-320,BA-320,BA-320,BA-320,BA-320,0.8265817761421204,0.9367149472236633,True,True,False,False,0.8333333333333334,0.8333333333333334,False
semi_real,product_code,0,semi_real_product_code_0_0002,I B dash 3 3 7,IB-337,IA-538,IA-538,IA-538,IA-538,0.6320417523384094,0.9352171421051025,True,True,False,False,0.5,0.5,False
semi_real,product_code,0,semi_real_product_code_0_0003,B B _ 4A 7T O,BB-470,BC-420,BC-420,BA-420,BA-420,0.6739705204963684,0.938616931438446,True,True,False,False,0.6666666666666666,0.6666666666666666,False
semi_real,product_code,0,semi_real_product_code_0_0004,C 0 - 3 S5 6,CO-356,ZO-156,ZO-156,BO-156,BO-156,0.8600748777389526,0.9621676206588745,True,True,False,False,0.6666666666666666,0.6666666666666666,False
semi_real,product_code,0,semi_real_product_code_0_0005,Z2 1 _ I1 S5 S5,ZI-155,SI-158,SI-158,ZC-152,ZC-152,0.6982167363166809,0.9049513936042786,True,True,False,False,0.6666666666666666,0.6666666666666666,False
semi_real,product_code,0,semi_real_product_code_0_0006,C S dash I 5 I1,CS-151,BS-153,BS-153,BS-153,BS-153,0.7359423637390137,0.9462339878082275,True,True,False,False,0.6666666666666666,0.6666666666666666,False
semi_real,product_code,0,semi_real_product_code_0_0007,8 B - 4A I B8,BB-418,BC-418,BC-418,BA-418,BA-418,0.922869086265564,0.9832963347434998,True,True,False,False,0.8333333333333334,0.8333333333333334,False
semi_real,product_code,0,semi_real_product_code_0_0008,O0 Z - I1 Z O,OZ-120,ZZ-620,ZZ-620,ZZ-420,ZZ-420,0.8184084892272949,0.9622786641120911,True,True,False,False,0.6666666666666666,0.6666666666666666,False
semi_real,product_code,0,semi_real_product_code_0_0009,B O dash B 0 S5,BO-805,BO-815,BO-815,BO-805,BO-805,0.6393545269966125,0.9063138961791992,True,True,False,True,0.8333333333333334,1.0,False
